"ID","PRODUCT_ID","TITLE","RATING","HELPFULCOUNT","HELPFULTOTAL","CREATED_AT","CREATED_BYUSER","MODIFIED_BYUSER","MODIFIED_AT","REVIEWER_ID","MESSAGE"
"59c400c6-e2a2-4c83-bb53-096c4690c577","HT-1000","Rating for Product HT-1000","3","3","8","2014-12-10T01:14:17","john.nicols@itelo.info","john.nicols@itelo.info","2016-03-01T21:05:18","0b38a72a-4b45-4559-80a3-d5afa74f4648","The Notebook Basic 15 is a great device"
"23fcbc94-23ec-4505-905d-cf82166ce845","HT-1000","Rating for Product HT-1000","4","3","4","2014-06-07T12:16:14","sue.bay@itelo.info","walter.winter@itelo.info","2017-01-26T21:17:21","5bf08eab-4df2-4169-81bc-c0da07e448f3","The display of the notebook doesn't have good resolution"
"bc3cc02d-9c78-4865-9f67-733117339924","HT-1000","Rating for Product HT-1000","3","2","9","2014-12-06T10:17:21","maria.hicks@itelo.info","paul.burke@itelo.info","2016-07-30T04:20:09","5f04da30-6aad-4313-8c25-a528813ed3cf","The best notebook ever made"
"9fa46848-c6f8-4276-8dd4-87b1eee9c14a","HT-1002","Rating for Product HT-1002","3","4","8","2014-11-08T21:22:04","john.dash@itelo.info","peter.fuchs@itelo.info","2017-11-13T16:20:20","92e5e55a-59ec-4f11-a354-33282d7649ee","Eirmod option. Atqui erre."
"d732ce66-7cce-4cb5-8606-08eda850ff65","HT-1002","Rating for Product HT-1002","3","4","10","2015-01-30T12:08:04","changf@itelo.info","sally.spring@itelo.info","2016-10-07T13:15:15","767a2d35-db5f-492d-9ce9-2f4088baeeb0","Et. Te mollis equidem liberavisse ius, in ius iudico eirmod option. Atqui errem clita eu ius. Tantas dictas id mei, ad pro commodo urbanitas. No consulatu theophrastus pri. Id eleifend evertitur vulputate duo, ex labores salutand."
"8d5542ec-2522-494f-a5c7-98b32794439a","HT-1002","Rating for Product HT-1002","4","3","5","2014-08-23T11:05:03","barbara.ingalls@itelo.info","paul.burke@itelo.info","2016-05-10T20:03:00","1f6891b2-affe-4ad2-88e9-0b9a1d4509a6","Natum solet et. Te mollis equidem liberavisse ius, in ius iudico eirmod option. Atqui errem clita eu ius. Tantas dictas id mei, ad pro commodo urbanitas. No consulatu theophrastus pri. Id eleifend evertitur vulputate duo, ex labores salutandi his. Nulla elitr oratio ut usu, qui interesset necessitatibus ut. Sea cu deleniti indoctum persecuti, agam eligendi sit ei. An vis civibus offendit incorrupte, mel ne dicam corrumpit. An qui prompta aliquid. Sea ut dolores invidun."
"4e572748-fffe-429e-8917-bb0e2b47b11f","HT-1002","Rating for Product HT-1002","2","1","10","2014-02-16T22:20:23","john.dash@itelo.info","barbara.ingalls@itelo.info","2016-08-25T23:20:10","8950831d-c08f-4232-a99a-bc1fc8cc9c9b","Dicunt rationibus et quo."
"d53cc45f-31a4-43af-b823-b8601e2ee2ae","HT-1003","Rating for Product HT-1003","3","4","26","2014-10-31T15:19:08","perezcf@itelo.info","franco.fall@itelo.info","2016-07-29T05:07:10","19b40f31-19b6-4eed-b0e1-2f094e1cda57","Amet, at vim laudem dolorem persecuti, qui qualisque deseruisse id, tempor dicunt rationibus et quo. Nam no essent aliquid, ne animal abhorreant eloquentiam eam, vis natum solet et. Te mollis equidem liberavisse ius, in ius iudic."
"6f2ccb7b-182e-4198-bf9f-ae87bef20622","HT-1003","Rating for Product HT-1003","3","2","15","2015-03-09T06:01:01","randy.gordon@itelo.info","frank.brown@itelo.info","2017-10-12T12:21:19","569d5267-d7e3-43d9-b3e5-6cf84952db52","Ipsum dolor sit amet, at vim laudem dolorem persecuti, qui qualisque deseruisse id, tempor dicunt rationibus et quo. Nam no essent aliquid, ne animal abhorreant eloquentiam eam, vis natum solet et. Te mollis equidem liberavisse ius, in ius iudico eirmod option. Atqui errem clita eu ius. Tantas dictas id mei, ad pro commodo urbanitas. No consulatu theophrastus pri. Id eleifend evertitur vulputate duo, ex labores salutandi his. Nulla elitr oratio ut usu, qui interesse."
"e17ef1a8-0d40-4e6e-98a6-f6c63be747cf","HT-1003","Rating for Product HT-1003","5","5","18","2014-12-15T18:02:17","sally.spring@itelo.info","franco.fall@itelo.info","2016-03-09T12:11:19","7beecee8-df56-41eb-a4e9-65b094d874a3","Rationibus et quo. Na."
"43b1c44b-3455-4c50-a6db-5f43d964438a","HT-1003","Rating for Product HT-1003","1","13","30","2014-03-07T19:16:15","karl.kessler@itelo.info","megan.wang@itelo.info","2016-01-07T04:08:02","af235cd3-dd01-4bca-a6db-aba749be70e9","Aliquid, ne animal abhorreant eloquentiam eam, vis natum solet et. Te mollis equidem liberavisse ius, in ius iudico eirmod option. Atqui errem clita eu ius. Tantas dictas id mei, ad pro commodo urbanitas. No consulatu theophrastu."
"020b8a89-ef0b-4a54-b2ee-7cc95be001fd","HT-1003","Rating for Product HT-1003","5","8","27","2014-05-01T19:05:11","franco.fall@itelo.info","peter.douglas@itelo.info","2016-01-31T19:13:16","d8ac4d46-694d-42a7-9639-9f570a0c2e43","Dolor sit amet, at vim laudem dolorem persecuti, qui qualisque deseruisse id, tempor dicunt rationibus et quo. Nam no essent aliquid, ne animal abhorreant eloquentiam eam, vis natum solet et. Te mollis equidem liberavisse ius, in ius iudico eirmod option. Atqui errem clita eu ius. Tantas dictas id mei, ad pro commodo urbanitas. No consulatu theophrastus pri. Id eleifend evertitur vulputate duo, ex labores salutandi his. Nulla elitr oratio ut usu, qui interesset necessitatibu."
"7e799037-2531-4efd-a60d-675fa7aeed4d","HT-1003","Rating for Product HT-1003","2","15","41","2015-05-06T04:01:01","sue.bay@itelo.info","john.nicols@itelo.info","2016-08-14T20:01:07","7600966d-f2b0-468f-b550-0b82a8d97d86","Abhorreant eloquentiam eam, vi."
"8d4cefdc-3098-46af-b5be-d969bdb1c87a","HT-1003","Rating for Product HT-1003","3","2","41","2014-08-28T01:03:19","fisher.richard@itelo.info","sue.bay@itelo.info","2016-04-23T07:21:22","54bf75f8-c9b4-4463-8307-64453d35a3bd","Mollis equidem liberavisse ius, in ius iudico eirmod option. Atqui errem clita eu ius. Tantas dictas id mei, ad pro commodo urbanitas. No consulatu theophrastus pri. Id eleifend evertitur vulputate duo, ex labores salutandi his. Null."
"664232e4-0747-44b7-8388-e48dc1954368","HT-1003","Rating for Product HT-1003","3","15","15","2015-10-22T17:08:15","megan.wang@itelo.info","carol.aranda@itelo.info","2017-09-12T11:06:13","abbf07d2-965b-4c56-bc27-8cfdf8b0fa4c","Amet, at vim laudem dolorem persecuti, qui qualisque deseruisse id, tempor dicunt rationibus et quo. Nam no essent aliquid, ne animal abhorreant eloquentiam eam, vis natum solet et. Te mollis equidem liberavisse ius, in ius iudico eirmod option. Atqui errem clita eu ius. Tantas dictas id mei, ad pro commodo urbanitas. No consulatu theophrastus pri. Id eleifend evertitur vulputate duo, ex labores salutandi his. Nulla elitr oratio ut usu, qui interesset necessitatibus ut. Se."
"966646b7-0993-48db-9da2-02b255ecbd96","HT-1003","Rating for Product HT-1003","4","10","25","2014-05-23T02:07:00","james.field@itelo.info","megan.wang@itelo.info","2016-09-10T21:08:11","fa3ad888-7940-4ba6-88ce-7300dadbeb87","Iudico eirmod option. Atqu."
"0a61c06e-ea56-4a8a-9b5c-2e82f7a71f18","HT-1003","Rating for Product HT-1003","1","12","30","2015-12-19T23:13:03","barbara.ingalls@itelo.info","perezcf@itelo.info","2017-06-06T14:11:18","90467108-ff2a-4de2-ba7a-977f0383263a","Vim laudem dolorem persecuti, qui qualisque deseruisse id, tempor dicunt rationibus et quo. Nam no essent aliquid, ne animal abhorreant eloquentiam eam, vis natum solet et. Te mollis equidem liberavisse ius, in ius iudico eirmod option."
"23a706b4-aed7-422d-bcf7-315e3558456c","HT-1003","Rating for Product HT-1003","5","5","31","2015-08-19T18:17:06","changf@itelo.info","changf@itelo.info","2016-08-16T07:13:04","f00ed32d-5531-46ac-85c9-aa0ee4bf62c5","Abhorreant eloquentiam eam, vis natum solet et. Te mollis equidem liberavisse ius, in ius iudico eirmod option. Atqui errem clita eu ius. Tantas dictas id mei, ad pro commodo urbanitas. No consulatu theophrastus pri. Id eleifend evertitur vulputate duo, ex labores salutandi his. Nulla elitr oratio ut usu, qui interesset necessitatibus ut. Sea cu deleniti indoctum persecuti, agam eligendi sit ei. An vis civibus offendit incorrupte, mel ne dicam corrumpit. An qui prompta aliquid."
"21086c9e-60f7-4aeb-a294-6fad73c38e19","HT-1003","Rating for Product HT-1003","4","9","17","2015-12-17T06:00:04","viola.gains@itelo.info","megan.wang@itelo.info","2016-11-27T06:03:13","3ae2c932-8568-45ca-933a-316c8c1969f1","Et quo. Nam n."
"095fdca8-2b45-470a-b831-0258de423b52","HT-1003","Rating for Product HT-1003","4","15","19","2014-06-04T19:22:13","frank.brown@itelo.info","viola.gains@itelo.info","2017-08-01T21:07:05","f2a574e6-fd9f-4a2b-8539-0a71a35a11ff","Te mollis equidem liberavisse ius, in ius iudico eirmod option. Atqui errem clita eu ius. Tantas dictas id mei, ad pro commodo urbanitas. No consulatu theophrastus pri. Id eleifend evertitur vulputate duo, ex labores salutandi his."
